date,home_team,away_team,city,country
2026-06-28,South Africa,Canada,Inglewood,United States
2026-06-29,Germany,Paraguay,Foxborough,United States
2026-06-29,Brazil,Japan,Houston,United States
2026-06-29,Netherlands,Morocco,Guadalupe,Mexico
2026-06-30,Ivory Coast,Norway,Arlington,United States
2026-06-30,France,Sweden,East Rutherford,United States
2026-06-30,Mexico,Ecuador,Mexico City,Mexico
2026-07-01,England,DR Congo,Atlanta,United States
2026-07-01,United States,Bosnia and Herzegovina,Santa Clara,United States
2026-07-01,Belgium,Senegal,Seattle,United States
2026-07-02,Portugal,Croatia,Toronto,Canada
2026-07-02,Spain,Austria,Inglewood,United States
2026-07-02,Switzerland,Algeria,Vancouver,Canada
2026-07-03,Argentina,Cape Verde,Miami Gardens,United States
2026-07-03,Australia,Egypt,Arlington,United States
2026-07-03,Colombia,Ghana,Kansas City,United States
