group,team,p_group_win,p_top2,p_advance,p_eliminated,expected_points
A,Mexico,0.70772,0.90888,0.97176,0.02824,6.8568
A,South Korea,0.16132,0.53924,0.74604,0.25396,4.21452
A,Czech Republic,0.09528,0.36224,0.59824,0.40176,3.40044
A,South Africa,0.03568,0.18964,0.36404,0.63596,2.35352
B,Canada,0.49972,0.84196,0.94984,0.05016,6.13732
B,Switzerland,0.40144,0.7884,0.92632,0.07368,5.71564
B,Bosnia and Herzegovina,0.08104,0.27748,0.56968,0.43032,3.20648
B,Qatar,0.0178,0.09216,0.24168,0.75832,1.79224
C,Brazil,0.66384,0.92492,0.9826,0.0174,6.9972
C,Morocco,0.27796,0.78908,0.93168,0.06832,5.54208
C,Scotland,0.05056,0.22988,0.5752,0.4248,3.1474
C,Haiti,0.00764,0.05612,0.1566,0.8434,1.34328
D,United States,0.40512,0.67768,0.83628,0.16372,5.133
D,Turkey,0.2378,0.50608,0.70388,0.29612,4.15824
D,Australia,0.20008,0.44536,0.65656,0.34344,3.85484
D,Paraguay,0.157,0.37088,0.57228,0.42772,3.435
E,Germany,0.66056,0.89508,0.9788,0.0212,6.86732
E,Ecuador,0.1568,0.524,0.827,0.173,4.47684
E,Ivory Coast,0.17604,0.53632,0.82632,0.17368,4.53008
E,Curaçao,0.0066,0.0446,0.11776,0.88224,1.12576
F,Netherlands,0.75152,0.95208,0.9874,0.0126,7.28816
F,Japan,0.20256,0.73096,0.87708,0.12292,5.03916
F,Tunisia,0.02644,0.17592,0.39608,0.60392,2.43512
F,Sweden,0.01948,0.14104,0.33708,0.66292,2.19096
G,Belgium,0.70232,0.91172,0.97364,0.02636,6.90324
G,Iran,0.19632,0.63204,0.82344,0.17656,4.65912
G,Egypt,0.07096,0.3006,0.55028,0.44972,3.1412
G,New Zealand,0.0304,0.15564,0.32768,0.67232,2.15544
H,Spain,0.83532,0.97544,0.9948,0.0052,7.75368
H,Uruguay,0.13676,0.75972,0.89648,0.10352,5.05628
H,Saudi Arabia,0.01752,0.15624,0.37508,0.62492,2.37484
H,Cape Verde,0.0104,0.1086,0.27624,0.72376,1.9266
I,France,0.57268,0.85012,0.96956,0.03044,6.47248
I,Norway,0.24588,0.61792,0.88652,0.11348,4.9772
I,Senegal,0.1752,0.49604,0.81812,0.18188,4.46024
I,Iraq,0.00624,0.03592,0.10244,0.89756,1.05472
J,Argentina,0.86292,0.97152,0.9942,0.0058,7.79928
J,Austria,0.06752,0.50588,0.73152,0.26848,4.00296
J,Algeria,0.06056,0.42912,0.70184,0.29816,3.75208
J,Jordan,0.009,0.09348,0.19592,0.80408,1.52484
K,Portugal,0.59948,0.89148,0.96432,0.03568,6.56804
K,Colombia,0.32396,0.76476,0.90124,0.09876,5.42696
K,Uzbekistan,0.04016,0.18268,0.41016,0.58984,2.513
K,DR Congo,0.0364,0.16108,0.37152,0.62848,2.37764
L,England,0.6904,0.94692,0.9882,0.0118,7.13548
L,Croatia,0.26784,0.7836,0.91896,0.08104,5.46052
L,Panama,0.03276,0.19744,0.49088,0.50912,2.8428
L,Ghana,0.009,0.07204,0.20676,0.79324,1.59612
